,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1740,Wriddhiman Saha,4,4,1,214,87,71.33,153,139.86,0,2,24,5
1741,Ruturaj Gaikwad,6,6,2,204,72,51.0,169,120.71,0,3,16,6
1742,MS Dhoni,14,12,4,200,47*,25.0,172,116.27,0,0,16,7
1743,Robin Uthappa,12,12,0,196,41,16.33,164,119.51,0,0,19,7
1744,Sam Curran,14,11,3,186,52,23.25,141,131.91,0,1,12,12
1745,Shimron Hetmyer,12,11,3,185,45,23.12,125,148.0,0,0,11,12
1746,Dinesh Karthik,14,14,2,169,58,14.08,134,126.11,0,1,20,4
1747,Pat Cummins,14,11,4,146,53*,20.85,114,128.07,0,1,9,8
1748,Priyam Garg,14,10,1,133,51*,14.77,111,119.81,0,1,9,4
1749,Mandeep Singh,7,7,1,130,66*,21.66,109,119.26,0,1,10,4
1750,Shivam Dube,11,9,2,129,27*,18.42,105,122.85,0,0,5,9
1751,Sunil Narine,10,9,0,121,64,13.44,85,142.35,0,1,10,8
1752,Andre Russell,10,9,0,117,25,13.0,81,144.44,0,0,9,9
1753,Axar Patel,15,9,1,117,42,14.62,85,137.64,0,0,6,8
1754,Jofra Archer,14,10,4,113,27*,18.83,63,179.36,0,0,5,10
1755,Ajinkya Rahane,9,8,0,113,60,14.12,107,105.6,0,1,12,2
1756,Washington Sundar,15,9,3,111,30,18.5,95,116.84,0,0,10,2
1757,Abdul Samad,12,8,3,111,33,22.2,65,170.76,0,0,8,6
1758,Krunal Pandya,16,12,6,109,34,18.16,92,118.47,0,0,9,5
1759,Glenn Maxwell,13,11,4,108,32,15.42,106,101.88,0,0,9,0
1760,Saurabh Tiwary,7,5,0,103,42,20.6,80,128.75,0,0,8,3
1761,Deepak Hooda,7,5,4,101,62*,101.0,71,142.25,0,1,5,5
1762,Vijay Shankar,7,5,1,97,52*,24.25,96,101.04,0,1,10,1
1763,Riyan Parag,12,8,1,86,42*,12.28,77,111.68,0,0,6,3
1764,Tom Curran,5,4,3,83,54*,83.0,62,133.87,0,1,5,3
1765,Josh Philippe,5,5,1,78,33,19.5,77,101.29,0,0,9,1
1766,Gurkeerat Mann Singh,8,5,5,71,21*,0.0,80,88.75,0,0,8,0
1767,Abhishek Sharma,8,7,2,71,31,14.2,56,126.78,0,0,6,3
1768,Jason Holder,7,4,2,66,26*,33.0,53,124.52,0,0,5,3
1769,Kedar Jadhav,8,5,2,62,26,20.66,66,93.93,0,0,7,0
1770,Mahipal Lomror,3,3,0,59,47,19.66,54,109.25,0,0,2,3
1771,Kagiso Rabada,17,8,4,56,15*,14.0,49,114.28,0,0,4,2
1772,Lockie Ferguson,5,2,2,43,24*,0.0,29,148.27,0,0,4,1
1773,Krishnappa Gowtham,2,2,1,42,22*,42.0,27,155.55,0,0,3,2
1774,Yashasvi Jaiswal,3,3,0,40,34,13.33,44,90.9,0,0,2,2
1775,Shreyas Gopal,14,5,1,37,23*,9.25,39,94.87,0,0,3,0
1776,Ravichandran Ashwin,15,6,3,37,14*,12.33,34,108.82,0,0,3,1
1777,Rashid Khan,16,7,3,35,14,8.75,30,116.66,0,0,3,2
1778,Chris Morris,9,5,1,34,25*,8.5,21,161.9,0,0,2,3
1779,Sarfaraz Khan,5,3,1,33,14*,16.5,29,113.79,0,0,5,0
1780,Narayan Jagadeesan,5,2,0,33,33,16.5,29,113.79,0,0,4,0
1781,Murali Vijay,3,3,0,32,21,10.66,43,74.41,0,0,4,0
1782,Alex Carey,3,3,1,32,14*,16.0,29,110.34,0,0,0,1
1783,Chris Jordan,9,5,2,29,13,9.66,31,93.54,0,0,2,0
1784,Navdeep Saini,13,3,2,27,12*,27.0,27,100.0,0,0,3,0
1785,Nathan Coulter-Nile,7,2,1,25,24*,25.0,15,166.66,0,0,4,0
1786,Kamlesh Nagarkoti,10,6,3,22,8*,7.33,31,70.96,0,0,1,0
1787,Tushar Deshpande,5,2,1,21,20*,21.0,12,175.0,0,0,2,1
1788,Harshal Patel,5,2,0,21,16,10.5,24,87.5,0,0,2,0
1789,Jimmy Neesham,5,3,1,19,10*,9.5,18,105.55,0,0,0,1
1790,Tom Banton,2,2,0,18,10,9.0,20,90.0,0,0,1,1
1791,Mohammed Siraj,9,3,2,17,10*,17.0,14,121.42,0,0,2,0
1792,Karun Nair,4,3,1,16,15*,8.0,14,114.28,0,0,2,0
1793,Prabhsimran Singh,2,2,0,15,11,7.5,15,100.0,0,0,2,0
1794,Isuru Udana,10,4,1,15,10*,5.0,11,136.36,0,0,1,1
1795,James Pattinson,10,2,1,15,11,15.0,13,115.38,0,0,2,0
1796,Kuldeep Yadav,5,2,1,13,12,13.0,21,61.9,0,0,1,0
1797,Imran Tahir,3,1,1,13,13*,0.0,10,130.0,0,0,2,0
1798,Moeen Ali,3,3,0,12,11,4.0,16,75.0,0,0,1,0
1799,Sandeep Sharma,13,5,3,12,9,6.0,15,80.0,0,0,1,0
1800,Shardul Thakur,9,2,1,12,11,12.0,21,57.14,0,0,0,0
1801,Mohammad Nabi,1,1,1,11,11*,0.0,8,137.5,0,0,2,0
1802,Rinku Singh,1,1,0,11,11,11.0,11,100.0,0,0,1,0
1803,Shivam Mavi,8,3,1,10,9,5.0,14,71.42,0,0,1,0
1804,Varun Chakaravarthy,13,3,1,10,7*,5.0,15,66.66,0,0,0,0
1805,Jaydev Unadkat,7,1,0,9,9,9.0,13,69.23,0,0,0,0
1806,Ankit Rajpoot,6,2,1,9,7*,9.0,10,90.0,0,0,0,1
1807,Dwayne Bravo,6,2,0,7,7,3.5,6,116.66,0,0,0,0
1808,Shahbaz Nadeem,7,2,1,7,5,7.0,8,87.5,0,0,1,0
1809,Pravin Dubey,3,1,1,7,7*,0.0,13,53.84,0,0,0,0
1810,Anrich Nortje,16,5,4,7,3*,7.0,6,116.66,0,0,0,0
1811,Deepak Chahar,14,3,2,7,5*,7.0,12,58.33,0,0,0,0
1812,Ravi Bishnoi,14,3,2,7,6*,7.0,12,58.33,0,0,1,0
1813,Andrew Tye,1,1,0,6,6,6.0,6,100.0,0,0,0,1
1814,Jasprit Bumrah,15,1,1,5,5*,0.0,3,166.66,0,0,0,0
1815,Kartik Tyagi,10,3,2,4,2*,4.0,6,66.66,0,0,0,0
1816,Murugan Ashwin,9,1,0,4,4,4.0,4,100.0,0,0,0,0
1817,Dhawal Kulkarni,1,1,1,3,3*,0.0,2,150.0,0,0,0,0
1818,T Natarajan,16,3,3,3,3*,0.0,5,60.0,0,0,0,0
1819,Prasidh Krishna,6,2,2,2,2*,0.0,4,50.0,0,0,0,0
1820,Rahul Chahar,15,1,1,2,2*,0.0,4,50.0,0,0,0,0
1821,Mohammad Shami,14,3,2,2,2*,2.0,3,66.66,0,0,0,0
1822,Nikhil Naik,1,1,0,1,1,1.0,3,33.33,0,0,0,0
1823,Mujeeb Ur Rahman,2,1,0,1,1,1.0,3,33.33,0,0,0,0
1824,Dale Steyn,3,1,1,1,1*,0.0,2,50.0,0,0,0,0
1825,Varun Aaron,3,2,1,1,1,1.0,10,10.0,0,0,0,0
1826,Shahbaz Ahmed,2,1,1,1,1*,0.0,1,100.0,0,0,0,0
1827,Yuzvendra Chahal,15,2,1,1,1,1.0,3,33.33,0,0,0,0
1828,Mitchell Marsh,1,1,0,0,0*,0.0,1,0.0,0,0,0,0
1829,Umesh Yadav,2,1,0,0,0*,0.0,2,0.0,0,0,0,0
1830,Bhuvneshwar Kumar,4,1,0,0,0*,0.0,2,0.0,0,0,0,0
1831,Sheldon Cottrell,6,1,0,0,0*,0.0,2,0.0,0,0,0,0
1832,Khaleel Ahmed,7,1,0,0,0*,0.0,2,0.0,0,0,0,0
1833,Arshdeep Singh,8,1,0,0,0*,0.0,3,0.0,0,0,0,0
1834,Daniel Sams,3,1,0,0,0*,0.0,2,0.0,0,0,0,0
1835,Shreevats Goswami,2,2,0,0,0*,0.0,4,0.0,0,0,0,0
1836,Trent Boult,15,1,0,0,0*,0.0,1,0.0,0,0,0,0
1837,Ruturaj Gaikwad,16,16,2,635,101*,45.35,466,136.26,1,4,64,23
1838,Faf du Plessis,16,16,2,633,95*,45.21,458,138.2,0,6,60,23
1839,KL Rahul,13,13,3,626,98*,62.6,451,138.8,0,6,48,30
1840,Shikhar Dhawan,16,16,1,587,92,39.13,471,124.62,0,3,63,16
1841,Glenn Maxwell,15,14,2,513,78,42.75,356,144.1,0,6,48,21
1842,Sanju Samson,14,14,2,484,119,40.33,354,136.72,1,2,45,17
1843,Prithvi Shaw,15,15,0,479,82,31.93,301,159.13,0,4,56,18
1844,Shubman Gill,17,17,0,478,57,28.11,402,118.9,0,3,50,12
1845,Mayank Agarwal,12,12,1,441,99*,40.09,314,140.44,0,4,42,18
1846,Rishabh Pant,16,16,4,419,58*,34.91,326,128.52,0,3,42,10
1847,Devdutt Padikkal,14,14,1,411,101*,31.61,328,125.3,1,1,44,14
1848,Virat Kohli,15,15,1,405,72*,28.92,339,119.46,0,3,43,9
1849,Rahul Tripathi,17,16,2,397,74*,28.35,283,140.28,0,2,41,11
1850,Nitish Rana,17,16,3,383,80,29.46,314,121.97,0,2,34,17
1851,Rohit Sharma,13,13,0,381,63,29.3,299,127.42,0,1,33,14
1852,Venkatesh Iyer,10,10,1,370,67,41.11,288,128.47,0,4,37,14
1853,Moeen Ali,15,15,1,357,58,25.5,260,137.3,0,1,31,19
1854,Suryakumar Yadav,14,14,0,317,82,22.64,221,143.43,0,2,40,10
1855,AB de Villiers,15,14,4,313,76*,31.3,211,148.34,0,2,23,16
1856,Quinton de Kock,11,11,1,297,70*,29.7,256,116.01,0,2,29,7
1857,Manish Pandey,8,8,2,292,69*,48.66,236,123.72,0,3,21,10
1858,Kane Williamson,10,10,4,266,66*,44.33,235,113.19,0,2,29,2
1859,Ambati Rayudu,16,13,4,257,72*,28.55,170,151.17,0,2,16,17
1860,Jos Buttler,7,7,0,254,124,36.28,166,153.01,1,0,27,13
1861,Yashasvi Jaiswal,10,10,0,249,50,24.9,168,148.21,0,1,32,10
1862,Jonny Bairstow,7,7,1,248,63*,41.33,175,141.71,0,2,20,15
1863,Kieron Pollard,14,13,5,245,87*,30.62,165,148.48,0,1,16,16
1864,Shimron Hetmyer,14,13,6,242,53*,34.57,144,168.05,0,1,19,12
1865,Ishan Kishan,10,10,1,241,84,26.77,180,133.88,0,2,21,10
1866,Shivam Dube,9,9,1,230,64*,28.75,193,119.17,0,1,18,10
1867,Ravindra Jadeja,16,12,9,227,62*,75.66,156,145.51,0,1,19,9
1868,Dinesh Karthik,17,15,5,223,40,22.3,170,131.17,0,0,22,7
1869,David Warner,8,8,0,195,57,24.37,181,107.73,0,2,15,6
1870,Chris Gayle,10,10,1,193,46,21.44,154,125.32,0,0,21,8
1871,K.S Bharat,8,7,2,191,78*,38.2,156,122.43,0,1,10,8
1872,Andre Russell,10,9,2,183,54,26.14,120,152.5,0,1,14,14
1873,Shreyas Iyer,8,8,3,175,47*,35.0,171,102.33,0,0,7,5
1874,Deepak Hooda,12,11,1,160,64,16.0,123,130.08,0,1,9,9
1875,Suresh Raina,12,11,2,160,54,17.77,128,125.0,0,1,13,9
1876,Rahul Tewatia,14,11,1,155,44,15.5,147,105.44,0,0,11,6
1877,Shahrukh Khan,11,10,3,153,47,21.85,114,134.21,0,0,9,10
1878,Steve Smith,8,7,1,152,39,25.33,135,112.59,0,0,13,2
1879,Evin Lewis,5,5,0,151,58,30.2,93,162.36,0,1,18,7
1880,Jason Roy,5,5,0,150,60,30.0,121,123.96,0,1,21,1
1881,Aiden Markram,6,6,1,146,42,29.2,119,122.68,0,0,12,4
1882,Krunal Pandya,13,12,2,143,39,14.3,123,116.26,0,0,10,6
1883,Eoin Morgan,17,16,4,133,47*,11.08,139,95.68,0,0,8,6
1884,Wriddhiman Saha,9,9,0,131,44,14.55,140,93.57,0,0,7,5
1885,Hardik Pandya,12,11,2,127,40*,14.11,112,113.39,0,0,11,5
1886,David Miller,9,8,3,124,62,24.8,113,109.73,0,1,11,3
1887,Saurabh Tiwary,5,4,2,115,50*,57.5,97,118.55,0,1,10,2
1888,Robin Uthappa,4,4,0,115,63,28.75,84,136.9,0,1,8,5
1889,MS Dhoni,16,11,4,114,18*,16.28,107,106.54,0,0,12,3
1890,Abdul Samad,11,10,1,111,28,12.33,87,127.58,0,0,4,8
1891,Abhishek Sharma,8,7,1,98,33,16.33,75,130.66,0,0,7,4
1892,Mahipal Lomror,4,4,1,94,43,31.33,73,128.76,0,0,3,6
1893,Pat Cummins,7,5,2,93,66*,31.0,56,166.07,0,1,5,8
1894,Riyan Parag,11,10,2,93,25,11.62,83,112.04,0,0,6,4
1895,Marcus Stoinis,10,7,3,89,27*,22.25,72,123.61,0,0,11,1
1896,Nicholas Pooran,12,11,0,85,32,7.72,76,111.84,0,0,3,5
1897,Jason Holder,8,7,1,85,47*,14.16,72,118.05,0,0,2,6
1898,Rashid Khan,14,10,2,83,22,10.37,69,120.28,0,0,9,2
1899,Priyam Garg,5,5,0,72,29,14.4,74,97.29,0,0,2,3
1900,Rajat Patidar,4,4,0,71,31,17.75,62,114.51,0,0,3,3
1901,Lalit Yadav,7,5,3,68,22*,34.0,73,93.15,0,0,7,0
1902,Chris Morris,11,7,2,67,36*,13.4,49,136.73,0,0,2,5
1903,Kyle Jamieson,9,7,3,65,16*,16.25,55,118.18,0,0,5,3
1904,Harpreet Brar,7,5,5,64,25*,0.0,58,110.34,0,0,3,2
1905,Sunil Narine,14,10,2,62,26,7.75,47,131.91,0,0,3,5
1906,Shahbaz Ahmed,11,7,0,59,14,8.42,53,111.32,0,0,4,2
1907,Harshal Patel,15,8,4,59,31,14.75,46,128.26,0,0,6,2
1908,Vijay Shankar,7,5,0,58,28,11.6,52,111.53,0,0,1,3
1909,Sam Curran,9,4,1,56,34,18.66,29,193.1,0,0,5,3
1910,Kedar Jadhav,6,5,1,55,19,13.75,52,105.76,0,0,2,2
1911,Chris Lynn,1,1,0,49,49,49.0,35,140.0,0,0,4,3
1912,Shakib Al Hasan,8,6,1,47,26,9.4,48,97.91,0,0,3,1
1913,Dwayne Bravo,11,3,2,47,23,47.0,18,261.11,0,0,3,4
1914,Ravichandran Ashwin,13,5,2,44,20*,14.66,42,104.76,0,0,2,1
1915,Manan Vohra,4,4,0,42,14,10.5,39,107.69,0,0,5,2
1916,Liam Livingstone,5,5,0,42,25,8.4,41,102.43,0,0,3,1
1917,Jaydev Unadkat,6,3,1,41,24,20.5,29,141.37,0,0,3,2
1918,Axar Patel,12,6,1,40,12,8.0,46,86.95,0,0,2,1
1919,Jayant Yadav,5,3,1,34,23,17.0,26,130.76,0,0,2,1
1920,Bhuvneshwar Kumar,11,7,6,34,14*,34.0,30,113.33,0,0,3,0
1921,Mohammad Nabi,3,3,0,34,17,11.33,20,170.0,0,0,3,2
1922,Chris Jordan,4,2,0,32,30,16.0,21,152.38,0,0,1,3
1923,Washington Sundar,6,4,0,31,10,7.75,47,65.95,0,0,2,0
1924,Moises Henriques,5,4,2,31,14,15.5,32,96.87,0,0,0,1
1925,Dawid Malan,1,1,0,26,26,26.0,26,100.0,0,0,1,1
1926,Glenn Phillips,3,3,1,26,14*,13.0,33,78.78,0,0,1,2
1927,Ripal Patel,2,2,1,25,18,25.0,27,92.59,0,0,3,0
1928,Shivam Mavi,9,2,0,25,20,12.5,20,125.0,0,0,2,2
1929,Tom Curran,3,2,1,21,21,21.0,17,123.52,0,0,2,0
1930,Mohammed Siraj,15,4,3,20,12*,20.0,26,76.92,0,0,1,1
1931,Prabhsimran Singh,2,2,0,19,12,9.5,23,82.6,0,0,1,1
1932,Nathan Ellis,3,2,1,18,12,18.0,16,112.5,0,0,0,1
1933,Lockie Ferguson,8,3,3,18,18*,0.0,11,163.63,0,0,1,1
1934,Anmolpreet Singh,1,1,0,16,16,16.0,14,114.28,0,0,2,1
1935,Adam Milne,4,3,1,16,15,8.0,17,94.11,0,0,0,1
1936,Chetan Sakariya,14,6,1,16,7,3.2,25,64.0,0,0,2,0
1937,Jasprit Bumrah,14,7,5,16,5*,8.0,17,94.11,0,0,2,0
1938,Jhye Richardson,3,2,0,15,15,7.5,24,62.5,0,0,2,0
1939,Chris Woakes,3,1,1,15,15*,0.0,11,136.36,0,0,2,0
1940,Murugan Ashwin,3,2,0,15,9,7.5,24,62.5,0,0,1,0
1941,Virat Singh,3,2,0,15,11,7.5,26,57.69,0,0,1,0
1942,Mandeep Singh,1,1,0,15,15,15.0,14,107.14,0,0,2,0
1943,Jagadeesha Suchith,2,1,1,14,14*,0.0,6,233.33,0,0,2,1
1944,Rahul Chahar,11,5,0,14,8,2.8,15,93.33,0,0,1,0
1945,Dan Christian,9,7,1,14,9,2.33,24,58.33,0,0,1,0
1946,Mohammad Shami,14,4,3,13,9*,13.0,17,76.47,0,0,0,0
1947,Kagiso Rabada,15,3,2,13,9*,13.0,6,216.66,0,0,2,0
1948,Yuzvendra Chahal,15,2,2,10,8*,0.0,27,37.03,0,0,0,0
1949,Ajinkya Rahane,2,1,0,8,8,8.0,8,100.0,0,0,1,0
1950,Sandeep Sharma,7,2,1,8,8*,8.0,7,114.28,0,0,1,0
1951,Mustafizur Rahman,14,5,5,8,8*,0.0,14,57.14,0,0,0,1
1952,Siddarth Kaul,8,2,2,8,7*,0.0,8,100.0,0,0,1,0
1953,Sachin Baby,1,1,0,7,7,7.0,17,41.17,0,0,0,0
1954,Shreyas Gopal,3,2,1,7,7*,7.0,5,140.0,0,0,0,1
1955,Daniel Sams,2,2,1,6,3*,6.0,6,100.0,0,0,0,0
1956,Fabian Allen,4,3,2,6,6,6.0,12,50.0,0,0,0,0
1957,Avesh Khan,16,1,1,5,5*,0.0,3,166.66,0,0,1,0
1958,Shardul Thakur,16,4,2,5,3*,2.5,5,100.0,0,0,0,0
1959,Harbhajan Singh,3,2,2,4,2*,0.0,4,100.0,0,0,0,0
1960,Nathan Coulter-Nile,5,2,0,4,3,2.0,5,80.0,0,0,0,0
1961,Tim Southee,3,1,0,3,3,3.0,5,60.0,0,0,0,0
1962,Navdeep Saini,2,1,0,2,2,2.0,4,50.0,0,0,0,0
1963,Tabraiz Shamsi,1,1,1,2,2*,0.0,4,50.0,0,0,0,0
1964,Kartik Tyagi,4,2,1,2,1*,2.0,4,50.0,0,0,0,0
1965,Tim Seifert,1,1,0,2,2,2.0,4,50.0,0,0,0,0
1966,Arshdeep Singh,12,2,2,2,1*,0.0,3,66.66,0,0,0,0
1967,George Garton,5,3,2,2,2*,2.0,4,50.0,0,0,0,0
1968,Varun Chakaravarthy,17,3,2,2,2*,2.0,4,50.0,0,0,0,0
1969,Mujeeb Ur Rahman,1,1,1,1,1*,0.0,1,100.0,0,0,0,0
1970,Tim David,1,1,0,1,1,1.0,3,33.33,0,0,0,0
1971,Khaleel Ahmed,7,1,0,1,1,1.0,2,50.0,0,0,0,0
1972,Wanindu Hasaranga,2,2,1,1,1*,1.0,2,50.0,0,0,0,0
1973,Ravi Bishnoi,9,1,0,1,1,1.0,4,25.0,0,0,0,0
1974,Trent Boult,14,4,4,1,1*,0.0,4,25.0,0,0,0,0
1975,Deepak Chahar,15,2,2,1,1*,0.0,1,100.0,0,0,0,0
1976,Ben Stokes,1,1,0,0,0*,0.0,3,0.0,0,0,0,0
1977,Marco Jansen,2,2,0,0,0*,0.0,3,0.0,0,0,0,0
1978,Shahbaz Nadeem,1,1,0,0,0*,0.0,1,0.0,0,0,0,0
1979,Kamlesh Nagarkoti,1,1,0,0,0*,0.0,2,0.0,0,0,0,0
1980,Prasidh Krishna,10,2,1,0,0*,0.0,1,0.0,0,0,0,0
1981,Kuldip Yadav,1,1,1,0,0*,0.0,4,0.0,0,0,0,0
1982,Sarfaraz Khan,2,2,0,0,0*,0.0,4,0.0,0,0,0,0
1983,Anuj Rawat,2,1,0,0,0*,0.0,1,0.0,0,0,0,0
1984,Jimmy Neesham,3,2,0,0,0*,0.0,2,0.0,0,0,0,0
1985,Piyush Chawla,1,1,0,0,0*,0.0,2,0.0,0,0,0,0
